;name;average_sentiment;cat_detailed;cat_sites_reduced_more;average_age;average_way_travel;latitud;longitud;address;area;rating;user_age_encoded;way_travel_encoded;sentiment_encoded;destination_encoded;cat_sites_reduced_more_encoded
2099;Plaça del Rei;curious;point_of_interest;points of interest, like squares and sculptures;old;in groups;41,3842222;2,177278;Pl. del Rei, 08002 Barcelona, España;Barcelona;4,7;2;2;3;5;3
2100;Jardins de Can Sentmenat;relax;park;town, parks or lookouts;adult;alone;41,4026434;2,1148023;Carrer de Can Caralleu, 14, 16, 08017 Barcelona, España;Barcelona;4,2;1;0;2;5;2
2101;Reials Drassanes de Barcelona;curious;point_of_interest;points of interest, like squares and sculptures;old;in family;41,3751662;2,1762804;Av. de les Drassanes, 08001 Barcelona, España;Barcelona;4,5;2;3;3;5;3
2102;Centre Esportiu Municipal Can Caralleu;curious;point_of_interest;points of interest, like squares and sculptures;old;in couple;41,4015896;2,1109651;Carrer dels Esports, 2, 8, 08017 Barcelona, España;Barcelona;4,3;2;1;3;5;3
2103;Reial Club Nàutic de Barcelona;curious;point_of_interest;points of interest, like squares and sculptures;young;in groups;41,3770563;2,1829846;Moll d'Espanya, s/n, 08039 Barcelona, España;Barcelona;4,5;0;2;3;5;3
2104;El passatge d'Antoni Gassol;artsy;point_of_interest;points of interest, like squares and sculptures;old;in couple;41,4127619;2,1956925;Passatge d'Antoni Gassol, 08018 Barcelona, España;Barcelona;3,957028112;2;1;0;5;3
2105;Mercat Núria;artsy;point_of_interest;points of interest, like squares and sculptures;adult;alone;41,4599917;2,1724713;Av. dels Rasos de Peguera, 194, 08033 Barcelona, España;Barcelona;2,5;1;0;0;5;3
2106;Ronda de Sant Antoni;artsy;point_of_interest;points of interest, like squares and sculptures;old;alone;41,3821232;2,1635812;Rda. de Sant Antoni, Barcelona, España;Barcelona;3,957028112;2;0;0;5;3
2107;Mirador Joan Sales i Vallès;artsy;lookout;town, parks or lookouts;old;in couple;41,4162633;2,1528653;Carrer de Pau Ferran, 44I, 08023 Barcelona, España;Barcelona;4,8;2;1;0;5;2
2108;Casa Tomàs Valls;curious;historic_building;historic building, museums and archaeological rests;old;in groups;41,2969504;1,2420796;N-240A, 43800 Valls, Tarragona, España;Barcelona;0;2;2;3;5;1
2109;Edifici Modernista Riera de Sant Miquel 44;artsy;point_of_interest;points of interest, like squares and sculptures;old;in couple;41,3866399;2,1714016;Pl. de Catalunya, 17, 08002 Barcelona, España;Barcelona;4,2;2;1;0;5;3
2110;Carrer Pons i Gallarza;curious;urban_route;route and urban routes;young;alone;41,435465;2,1871479;Carrer Pons i Gallarza, 08030 Barcelona, España;Barcelona;3,021052632;0;0;3;5;7
2111;Carrer Puerto Príncipe;curious;urban_route;route and urban routes;old;in groups;41,4224775;2,1811614;Carrer de Puerto Príncipe, 08027 Barcelona, España;Barcelona;3,021052632;2;2;3;5;7
2112;La Plaça Santa Madrona;artsy;point_of_interest;points of interest, like squares and sculptures;old;in couple;41,373478;2,1566865;Plaça de Santa Madrona, 08004 Barcelona, España;Barcelona;3,957028112;2;1;0;5;3
2113;Masia Can Valent;history_freak;historic_building;historic building, museums and archaeological rests;young;in groups;41,435388;2,1794156;Can Valent, 08016 Barcelona, España;Barcelona;3,3;0;2;4;5;1
2114;Basílica de la Mare de Déu de la Mercè;history_freak;religious;religious;adult;in couple;41,3794558;2,1796035;Carrer de la Mercè, 1, 08002 Barcelona, España;Barcelona;4,6;1;1;4;5;5
2115;Pla de Palau;curious;square;points of interest, like squares and sculptures;adult;in groups;41,3825063;2,183384;Pla de Palau, 08003 Barcelona, España;Barcelona;4,214285714;1;2;3;5;3
2116;Plaça de Sant Jaume;relax;square;points of interest, like squares and sculptures;old;in groups;41,3829436;2,1770147;Pl. de Sant Jaume, 08002 Barcelona, España;Barcelona;4,5;2;2;2;5;3
2117;Parc del Fòrum;relax;park;town, parks or lookouts;young;in couple;41,4114594;2,2246577;Carrer de la Pau, 12, 08930 Sant Adrià de Besòs, Barcelona, España;Barcelona;4,3;0;1;2;5;2
2118;Museu Militar;history_freak;museum;historic building, museums and archaeological rests;old;in couple;41,3765613;2,1779014;Plaça Portal de la Pau, s/n, 08002 Barcelona, España;Barcelona;4,5;2;1;4;5;1
2119;Teatre Poliorama;curious;theater;experiences, cultural centers, theaters and music;old;in couple;41,3841507;2,1706934;Rambla dels Estudis, 115, 08002 Barcelona, España;Barcelona;4,4;2;1;3;5;4
2120;SAT! Teatre de Barcelona;artsy;theater;experiences, cultural centers, theaters and music;young;in family;41,4305452;2,1889213;C. de Neopàtria, 54, 08030 Barcelona, España;Barcelona;4,4;0;3;0;5;4
