id,name,Average_sentiment,Google rating,Level of popularity,Increase of popularity,Cat_detailed,address,zipcode,lat,lng,area,other_city,age,way of travel,Latitud_google,Longitud_google,dirección_google,Latitud,Longitud,Dirección,Rating,Precio
3254,Zumarraga,relax,,,,town,,,,,Euskadi,Zumarraga; Aginaga | Diseminado,adult,in groups,43085954.0,-23147677.0,"20700 Zumarraga, Gipuzkoa, Spain",43.085954,-2.3147677,"20700 Zumárraga, Gipuzkoa, España",N/A,N/A
3255,Mungia,relax,,,,town,,,,,Euskadi,Billela | Diseminado; Mungia; Trobika | Diseminado; Atxuri | Diseminado; Emerando | Diseminado,old,in couple,433544186.0,-28467037.0,"48100 Mungia, Biscay, Spain",43.3544186,-2.8467037,"48100 Munguía, Vizcaya, España",N/A,N/A
3256,Mundaka,curious,,,,town,,,,,Euskadi,Arketa-Aranburu | Diseminado; Mundaka; Portuondo-Basaran | Diseminado,old,in groups,43408017.0,-27002508.0,"48360 Mundaka, Biscay, Spain",43.408017,-2.7002508,"48360 Mundaca, Vizcaya, España",N/A,N/A
3257,Otxandio,relax,,,,town,,,,,Euskadi,Mekoleta; Otxandio; Andaparaluzeta,adult,in family,430430773.0,-26553349.0,"48210 Otxandio, Biscay, Spain",43.0430773,-2.6553349,"48210 Ochandiano, Vizcaya, España",N/A,N/A
3258,Plentzia,relax,,,,town,,,,,Euskadi,Txipio; Plentzia; Saratxaga | Diseminado; Isuskitza | Diseminado,adult,in family,434046859.0,-29464435.0,"Plentzia, Biscay, Spain",43.4046859,-2.9464435,"Plencia, Vizcaya, España",N/A,N/A
3259,Portugalete,relax,,,,town,,,43.320624,-3.020331,Euskadi,Portugalete,old,in family,433182479.0,-30211969.0,"Portugalete, Biscay, Spain",43.3182479,-3.0211969,"Portugalete, Vizcaya, España",N/A,N/A
3260,Zeberio,relax,,,,town,,,,,Euskadi,Arkulanda; Ametzola | Diseminado; Zubialde; Ermitabarri-Ibarra; Areiltza-Olatzar | Diseminado; Gezala | Diseminado; Uriondo | Diseminado; Solatxi | Diseminado; Argiñao | Diseminado,adult,in family,431490751.0,-2847737.0,"Zeberio, Biscay, Spain",43.1490751,-2.847737,"Ceberio, Vizcaya, España",N/A,N/A
3261,Sestao,relax,,,,town,,,43.3096349,-3.0069397,Euskadi,Sestao,old,in couple,433093903.0,-30072372.0,"48910 Sestao, Biscay, Spain",43.3093903,-3.0072372,"48910 Sestao, Vizcaya, España",N/A,N/A
3262,Sopela,curious,,,,town,,,,,Euskadi,Moreaga; Ugeraga,old,in family,433807336.0,-29816125.0,"Sopelana, Biscay, Spain",43.3807336,-2.9816125,"Sopelana, Vizcaya, España",N/A,N/A
3263,Valle de Trápaga-Trapagaran,relax,,,,town,,,,,Euskadi,Elguero; Durañona | Diseminado; La Arboleda/Zugaztieta; Matamoros-Burtzako | Diseminado; Parkotxa-Barrionuevo | Diseminado; Larreineta; Valle de Trápaga/Trapagaran; Galindo-Salcedillo; Ugarte; Trapaga-Kauso | Diseminado,young,in family,433049937.0,-30372333.0,"48510 Valle de TrÃ¡paga-Trapagaran, Biscay, Spain",43.3049937,-3.0372333,"48510 Valle de Trápaga, Vizcaya, España",N/A,N/A
3264,Zamudio,relax,,,,town,,,,,Euskadi,Ugaldeguren (Santimami) | Diseminado; Aranoltza (San Antolin) | Diseminado; Geldo | Diseminado,old,alone,432891757.0,-28527235.0,"Zamudio, Biscay, Spain",43.2891757,-2.8527235,"Zamudio, Vizcaya, España",N/A,N/A
3265,Muskiz,relax,,,,town,,,,,Euskadi,Pobeña; Cobarón | Diseminado; La Rigada | Diseminado; San Juan | San Juan de Muskiz; San Julián de Muskiz; Santelices,young,in couple,433226028.0,-31138928.0,"48550 Muskiz, Biscay, Spain",43.3226028,-3.1138928,"48550 San Julián de Musques o Somorrostro, Vizcaya, España",N/A,N/A
3266,Munitibar-Arbatzegi-Gerrikaitz,relax,,,,town,,,,,Euskadi,Munitibar; Berreño | Diseminado; Totorika | Diseminado; Gerrikaitz | Diseminado; Gerrika | Diseminado,old,in couple,4326573339999990.0,-2592295.0,"48381 Munitibar-Arbatzegi-Gerrikaitz, Biscay, Spain",43.26573339999999,-2.592295,"48381 Arbácegui y Guerricaiz. Munitíbar o Munditíbar, Vizcaya, España",N/A,N/A
3267,Muxika,curious,,,,town,,,,,Euskadi,Gorozika | Diseminado; Ibarruri; Ibarruri | Aiuria; San Roman | Diseminado; Ugarte; Usparitxa | Diseminado,young,in couple,432894723.0,-26891316.0,"48392 Muxika, Biscay, Spain",43.2894723,-2.6891316,"48392 Múgica o Ugarte, Vizcaya, España",N/A,N/A
3268,Sondika,relax,,,,town,,,,,Euskadi,Basozabal; Landa | Diseminado; Izartza | Poblado Julio Arteche; Zangroiz | Diseminado,young,in couple,432871618.0,-29325785.0,"Sondika, Biscay, Spain",43.2871618,-2.9325785,"Sondica, Vizcaya, España",N/A,N/A
3269,Ubide,relax,,,,town,,,,,Euskadi,San Juan; Magdalena,adult,in couple,430240916.0,-26879671.0,"Ubide, Biscay, Spain",43.0240916,-2.6879671,"Ubide, Vizcaya, España",N/A,N/A
3270,Murueta,curious,,,,town,,,43.354463,-2.684153,Euskadi,Murueta | Diseminado,adult,in couple,433534739.0,-26817726.0,"Murueta, Biscay, Spain",43.3534739,-2.6817726,"Murueta, Vizcaya, España",N/A,N/A
3271,Zalla,relax,,,,town,,,,,Euskadi,Aranguren; Herrera; Mimetiz; Otxaran | Ocharan de Abajo; Sollano-Llantada,adult,alone,432120512.0,-3134137.0,"Zalla, 48860, Biscay, Spain",43.2120512,-3.134137,"Zalla, 48860, Vizcaya, España",N/A,N/A
3272,Nabarniz,relax,,,,town,,,,,Euskadi,Elexalde; Uribarri-Zabaleta | Diseminado; Merika; Lekerika; Intxaurraga | Diseminado; Ikazurieta,young,in couple,433213208.0,-25844348.0,"48312 Nabarniz, Biscay, Spain",43.3213208,-2.5844348,"48312 Navárniz, Vizcaya, España",N/A,N/A
3273,Ugao-Miraballes,curious,,,,town,,,,,Euskadi,Markio | Diseminado; Ugao-Miraballes,young,alone,431828241.0,-29013692.0,"Ugao-Miraballes, Biscay, Spain",43.1828241,-2.9013692,"Miraballes, Vizcaya, España",N/A,N/A
3274,Sukarrieta,relax,,,,town,,,,,Euskadi,Txatxarramendi | Diseminado; Sukarrieta; Kanala | Diseminado; Sukarrieta | Diseminado,young,in couple,433948548.0,-26965229.0,"Sukarrieta, Biscay, Spain",43.3948548,-2.6965229,"Pedernales, Vizcaya, España",N/A,N/A
3275,Urduliz,relax,,,,town,,,,,Euskadi,Elortza; Mendiondo | Diseminado; Zalbidea | Diseminado; Dobaran | Diseminado; Landa,young,alone,433737401.0,-29482986.0,"48610 Urduliz, Biscay, Spain",43.3737401,-2.9482986,"48610 Urdúliz, Vizcaya, España",N/A,N/A
3276,Zaldibar,relax,,,,town,,,,,Euskadi,Goierri | Diseminado; Gazaga; Eitzaga; Zaldibar,old,in family,431718509.0,-25482725.0,"Zaldibar, Biscay, Spain",43.1718509,-2.5482725,"Zaldibar, Vizcaya, España",N/A,N/A
3277,Zaratamo,curious,,,,town,,,,,Euskadi,Zaratamo; Moiordin-Barrondo; Gutiolo; Arkotxa; Burbustu-Altamira,young,in couple,432119499.0,-2873298300000000.0,"48480 Zaratamo, Biscay, Spain",43.2119499,-2.873298300000001,"48480 Zarátamo, Vizcaya, España",N/A,N/A
3278,Zeanuri,curious,,,,town,,,,,Euskadi,Asterria | Diseminado; Altzusta | Diseminado; Ibarguen; Ipiñaburu | Diseminado; Otzerinmendi | Diseminado; Undurraga | Diseminado; Uribe | Diseminado; Plaza; Altzuaga | Diseminado,adult,alone,430834307.0,-27580701.0,"Zeanuri, 48144, Biscay, Spain",43.0834307,-2.7580701,"Ceánuri, 48144, Vizcaya, España",N/A,N/A
3279,Zierbena,curious,,,,town,,,,,Euskadi,La Cuesta; La Arena; San Mamés; Valle; El Puerto; Kardeo,adult,in couple,43351296.0,-30817598.0,"48508 Zierbena, Biscay, Spain",43.351296,-3.0817598,"48508 Ciérvana, Vizcaya, España",N/A,N/A
3280,Orozko,relax,,,,town,,,,,Euskadi,Gallartu; Arbaitza | Diseminado; Murueta; Urigoiti; Zubiaur; Ibarra; Bengoetxea,young,alone,431075643.0,-29112964.0,"48410 Orozko, Biscay, Spain",43.1075643,-2.9112964,"48410 Orozco, Vizcaya, España",N/A,N/A
3281,Ortuella,relax,,,,town,,,,,Euskadi,La Orconera | Diseminado; Cadegal; Triano | Diseminado; Urioste; Ortuella; Nocedal,adult,alone,433093399.0,-30538639.0,"48530 Ortuella, Biscay, Spain",43.3093399,-3.0538639,"48530 Ortuella, Vizcaya, España",N/A,N/A
3282,Sopuerta,relax,,,,town,,,,,Euskadi,Avellaneda | Diseminado; Alen | Diseminado; Bezi | Diseminado; El Castaño; Jarralta | Diseminado; Mercadillo; Las Muñecas | Diseminado; Las Ribas; La Baluga; San Martín de Carral; Labarrieta/Olabarrieta | Diseminado; Arenao,adult,in groups,4327426819999990.0,-31568245.0,"48190 Sopuerta, Biscay, Spain",43.27426819999999,-3.1568245,"48190 Sopuerta, Vizcaya, España",N/A,N/A
3283,Trucios-Turtzioz,relax,,,,town,,,,,Euskadi,La Iglesia; Pando; Gordón; Cueto,young,in groups,432716898.0,-32565373.0,"48880 Trucios-Turtzioz, Biscay, Spain",43.2716898,-3.2565373,"48880 Trucios-Turtzioz, Vizcaya, España",N/A,N/A
3284,Parte Vieja donostiarra,curious,,,,route,,,43.32203098175259,-1.984888315200806,Euskadi,,young,in groups,433254999.0,-19893762.0,"Old Town, Donostia-San Sebastian, Gipuzkoa, Spain",43.3254999,-1.9893762,"Parte Vieja, San Sebastián, Gipuzkoa, España",N/A,N/A
3285,El ensanche bilbaíno,curious,,,,route,,,43.26129988234519,-2.927191257476806,Euskadi,,old,in couple,432643919.0,-29303972.0,"Archivo HistÃ³rico Provincial, C. Henao, 12, 48009 Bilbao, Vizcaya, Spain",43.26357549999999,-2.9312517,"Plaza del Ensanche, Bilbao, Vizcaya, España",N/A,N/A
3286,Donostia / San Sebastián: De Moneo a Chillida,relax,,,,route,,,43.32436596283928,-1.978998184204102,Euskadi,,adult,in family,43318334.0,-19812313.0,"Donostia-San Sebastian, Gipuzkoa, Spain",,,,,
3287,"Goierri, las tierras altas",relax,,,,route,,,,,Euskadi,,old,in groups,43036041.0,-22630393.0,"Goierri, Gipuzkoa, Spain",,,,,
3288,"Valle de Errezil, las faldas de Hernio",relax,,,,route,,,,,Euskadi,,old,in couple,43171386.0,-2151581.0,"Hernio, 20737, Gipuzkoa, Spain",43.1702016,-2.1526169,"20737 Errezil, Gipuzkoa, España",4.8,N/A
3289,Errenteria-Lezo-Oiartzun-Pasaia: A un paso de San Sebastián,relax,,,,route,,,,,Euskadi,,young,alone,433223603.0,-18998001.0,"20100 Lezo, Gipuzkoa, Spain",,,,,
3290,"Bidasoa, asomados a la bahía de Txingudi",curious,,,,route,,,,,Euskadi,,old,in groups,,,,43.3651372,-1.7794443,"Bahía de Chingudi, 64700 Hendaya, Francia",4.7,N/A
3291,"Uribe Kosta, palacios y playas",relax,,,,route,,,,,Euskadi,,adult,in family,,,,,,,,
3292,"Valles de Nervión y Arratia, entre puertos y valles",relax,,,,route,,,,,Euskadi,,young,in family,431013695.0,-28178291.0,"Arratia-Nerbioi, Biscay, Spain",43.1013695,-2.8178291,"Arratia-Nervión, Vizcaya, España",N/A,N/A
3293,"Encartaciones, los señores de las torres",curious,,,,route,,,,,Euskadi,,old,in family,432479194.0,-31378173.0,"Enkarterri, Biscay, Spain",43.2479194,-3.1378173,"Encartaciones, Vizcaya, España",N/A,N/A
3294,"Zuia, en torno al embalse de Urrúnaga",relax,,,,route,,,,,Euskadi,,old,in family,42976738.0,-2651191400000000.0,"Urrunagako urtegia, Spain",42.976738,-2.651191400000001,"Embalse de Urrunaga, España",4.4,N/A
3295,"Añana, la sal de la tierra",relax,,,,route,,,,,Euskadi,,old,alone,,,,42.8004459,-2.9832402,"Real Kalea, 32, 01426 Gesaltza Añana, Araba, España",4.6,N/A
3296,"Campezo-Montaña Alavesa, en torno al Parque Natural de Izki",relax,,,,route,,,,,Euskadi,,adult,in couple,426993106.0,-24335628.0,"Parque Natural de Izki - Izkiko Parke Naturala - CENTRO DE INTERPRETACIÃ“N, C. Afuera, s/n, 01129 Corres, Ãlava, Spain",42.6993106,-2.4335628,"C. Afuera, s/n, 01129 Corres, Álava, España",4.6,N/A
3297,Rioja Alavesa: La cuna del vino,relax,,,,route,,,,,Euskadi,,young,in family,,,,42.568602,-2.675319,"Santa Lucia Bidea, 5, 01307 Samaniego, Araba, España",5,N/A
3298,La ruta de los faros,relax,,,,route,,,,,Euskadi,Deba; Zumaia; Zarautz; Usurbil; Pasai Donibane; Orio; Mutriku; Getaria; Irun; Lezo,young,in groups,,,,43.39191659999999,-1.7921271,"Higer Bidea, 56, 20280 Hondarribia, Gipuzkoa, España",4.4,N/A
3299,La ruta de los tres templos,curious,,,,route,,,,,Euskadi,,adult,in couple,,,,,,,,
3300,La Ría del Nervión,relax,,,,route,,,,,Euskadi,Bilbao; Sestao; Santurtzi; Portugalete,adult,alone,4314991210329600.0,-2942645362933570.0,"NerviÃ³n River, Spain",43.1477605,-2.9485689,"Nervión River, España",4.5,N/A
3301,"Zabalgana, Salburua, Olarizu y Armentia: El anillo verde de Vitoria-Gasteiz",relax,,,,route,,,,,Euskadi,Armentia; Vitoria-Gasteiz,adult,in groups,428296602.0,-2663315.0,"Olarizu, Olarizu Hiribidea, s/n, 01006 Gasteiz, Araba, Spain",42.84276,-2.711331,"Bulevar de Mariturri Kalea, s/n, 01015 Gasteiz, Araba, España",4.6,N/A
3302,Un paseo por Laguardia,relax,,,,route,,,42.55358017759045,-2.584134042263031,Euskadi,Laguardia,adult,in couple,425535069.0,-25841047.0,"01300 Laguardia, Ãlava, Spain",42.554564,-2.586342,"01300 Laguardia, Álava, España",2.3,N/A
3303,Elorrio y la vía verde de Arrazola,curious,,,,route,,,,,Euskadi,Durango; Elorrio; Apatamonasterio; Arrazola | Diseminado,young,alone,431287597.0,-25834141.0,"Ruta Verde Atxondo, Ziarreta Kalea, 4, 48291 Atxondo, Bizkaia, Spain",43.1287597,-2.5834141,"Ziarreta Kalea, 4, 48291 Atxondo, Bizkaia, España",4.7,N/A
3304,Un paseo por Santurtzi : Puerto escultórico,relax,,,,route,,,43.33046138135751,-3.030960559844971,Euskadi,Santurtzi,adult,in groups,43328128.0,-30336586.0,"Santurtzi, Biscay, Spain",,,,,
3305,Senderismo por Aiako Harria: En la cara de Napoleón,relax,,,,route,,,43.29910365230629,-1.860315799713135,Euskadi,,adult,in family,,,,43.2584049,-1.8388844,"Barrio Olaberria, 127, 20303 Irun, Gipuzkoa, España",4.8,N/A
3306,"Valle de Lastur, toros entre montañas",relax,,,,route,,,43.29740142568137,-2.352833747863769,Euskadi,,adult,in family,,,,43.2509301,-2.3340269,"20829 Lastur, Gipuzkoa, España",N/A,N/A
3307,"Faro de la Plata, entre San Sebastián y Pasaia",relax,,,,route,,,,,Euskadi,Pasai San Pedro; Pasai Donibane; Donostia / San Sebastián,old,in family,433348321.0,-19338921.0,"20016 Pasaia, Gipuzkoa, Spain",43.3348321,-1.9338921,"20016 Pasaia, Gipuzkoa, España",4.5,N/A
3308,"Un paseo por Hondarribia, historia y arte entre murallas",relax,,,,route,,,43.36145581844578,-1.791659295558929,Euskadi,,adult,in groups,433708434.0,-18001488.0,"Hondarribia, Gipuzkoa, Spain",43.362397,-1.793683,"Murrua Kalea, 28, 20280 Hondarribia, Gipuzkoa, España",4.6,N/A
3309,De pintxos por San Sebastián,curious,,,,route,,,43.32359326047225,-1.97129487991333,Euskadi,Donostia / San Sebastián,old,alone,43318334.0,-19812313.0,"Donostia-San Sebastian, Gipuzkoa, Spain",43.3243526,-1.972413,"Calle del, General Artetxe Kalea, 8, 20002 Donostia-San Sebastian, Gipuzkoa, España",4.3,2
3310,La ruta de la sidra,relax,,,,route,,,,,Euskadi,,young,alone,433260612.0,-48633842.0,"33555 Asiego, Asturias, Spain",43.2810158,-1.9500916,"Nabarra Oñatz Kalea, 7, BAJO, 20115 Astigarraga, Gipuzkoa, España",4.6,N/A
3311,El Poteo en Bilbao,curious,,,,route,,,43.26231557983237,-2.941938042640686,Euskadi,Bilbao,old,in couple,432630126.0,-29349852.0,"Bilbao, Biscay, Spain",43.2542149,-2.923116,"Urazurrutia Kalea, 1, 48003 Bilbo, Bizkaia, España",4.9,N/A
3312,"Costa vasca, el sabor de los puertos",relax,,,,route,,,,,Euskadi,,young,in groups,4331253239999990.0,-24703057.0,"Euskal Herriko kosta, Spain",43.31253239999999,-2.4703057,"Costa Vasca, España",N/A,N/A
3313,Visita a las bodegas de la Rioja Alavesa,relax,,,,route,,,,,Euskadi,Elciego; Elvillar/Bilar; Labastida/Bastida; Laguardia,young,alone,425302205.0,-2668859.0,"Las Bodegas Kalea, 01307, Araba, Spain",,,,,
3314,De las alubias de Tolosa a las habas a la vitoriana,relax,,,,route,,,,,Euskadi,,old,alone,431347544.0,-20750946.0,"20400 Tolosa, Gipuzkoa, Spain",,,,,
3315,La Euskadi dulce,relax,,,,route,,,,,Euskadi,Bergara; Tolosa; Irun; Vitoria-Gasteiz; Markina-Xemein; Durango; Bilbao,young,in groups,429896248.0,-26189273.0,"Basque Country, Spain",,,,,
3316,Bebidas y alimentos de primera,curious,,,,route,,,,,Euskadi,Gernika-Lumo,adult,in family,,,,43.2750887,-2.8493921,"Poligono Industrial La Cruz Nº 13, 48196 Lezama, Biscay, España",4.6,N/A
3317,Vitoria-Gasteiz: variedad y cantidad,curious,,,,route,,,42.84644554336133,-2.673363089561462,Euskadi,Vitoria-Gasteiz,old,in couple,428531869.0,-26732421.0,"Vitoria-Gasteiz, Ãlava, Spain",42.8531869,-2.6732421,"Vitoria-Gasteiz, Álava, España",N/A,N/A
3318,El Camino de Santiago por la Costa,curious,,,,route,,,,,Euskadi,Zarautz; Zumaia; Bilbao; Güeñes; Markina-Xemein; Portugalete; Balmaseda; Itziar; Getaria; Mutriku; Orio; Pasai San Pedro; Donostia / San Sebastián,old,in groups,428768606.0,-85441729.0,"Santiago de Compostela, A CoruÃ±a, Spain",,,,,
3319,El Camino de Santiago por el interior,curious,,,,route,,,,,Euskadi,Salinillas de Buradón/Gatzaga Buradon; Ribabellosa; Ordoñana/Erdoñana; Subijana de Álava/Subillana-Gasteiz | Subijana de Alava/Subillana-Gasteiz; Bidania; Zubieta | Diseminado,old,in family,428768606.0,-85441729.0,"Santiago de Compostela, A CoruÃ±a, Spain",,,,,
3320,Museo del Agua de Sobrón,relax,,,,museum,,,42.7738952,-3.114085700000032,Euskadi,,adult,in couple,427624007.0,-30823541.0,"01423 SobrÃ³n, Ãlava, Spain",42.7661096,-3.0907764,"La Presa Kalea, 1, 01423 Sobrón, Araba, España",4.2,N/A
3321,Los Secretos de la catedral de Vitoria,relax,,,,experience,,,42.85102071831692,-2.672474631421665,Euskadi,Vitoria-Gasteiz,young,in couple,428507172.0,-26727413.0,"Santa Maria Plaza, s/n, 01001 Gasteiz, Araba, Spain",42.8507172,-2.6727413,"Santa Maria Plaza, s/n, 01001 Gasteiz, Araba, España",4.6,N/A
3322,La ruta del Flysch en Geoparkea,relax,,,,experience,,,,,Euskadi,Zumaia; Mutriku,adult,in family,,,,,,,,
3323,Vuelo en globo por el Nacimiento del Nervión,relax,,,,experience,,,42.9397224,-2.981057400000054,Euskadi,,adult,alone,429397187.0,-29809947.0,"Salto del Nervion, 01470 Amurrio, Araba, Spain",43.40399559999999,-2.9479713,"Barrenkale Kalea, 23, 48620 Plentzia, Bizkaia, España",4.7,N/A
3324,Lekeitio marinero,relax,,,,experience,,,43.36295083242221,-2.502862590516656,Euskadi,Lekeitio,old,alone,433672101.0,-25074163.0,"Lekeitio, Biscay, Spain",43.3644045,-2.5018248,"Txatxo Kaia Kaia, 34, 48280 Lekeitio, Biscay, España",4.6,N/A
3325,Bodega El Fabulista. Tradición en Rioja Alavesa,relax,,,,experience,,,42.5535038,-2.584137499999997,Euskadi,Laguardia,adult,in family,425527943.0,-2584554.0,"San Juan Plaza, N, 01300 Guardia, Araba, Spain",42.5527943,-2.584554,"San Juan Plaza, N, 01300 Guardia, Araba, España",4.4,1
3326,Ardibidea: El mundo de los pastores vascos de cerca,relax,,,,experience,,,43.05375508995826,-2.178525030612946,Euskadi,Arantzazu | Santuario de Arantzazu,young,in groups,,,,43.0469332,-2.0915492,"Larraitz Bidea, s/n, 20268 Amezketa, Gipuzkoa, España",0,N/A
3327,Euskadi subterráneo,relax,,,,experience,,,,,Euskadi,Ranero,old,alone,429896248.0,-26189273.0,"Basque Country, Spain",42.9896248,-2.6189273,"País Vasco, España",N/A,N/A
3328,Ruta en barco por San Juan de Gaztelugatxe,relax,,,,experience,,,43.42039321165294,-2.718780934810638,Euskadi,Bermeo,adult,in family,43447.0,-2785.0,"Gaztelugatxe, 48130 Gaztelugatxeko Doniene, Biscay, Spain",,,,,
3329,Con sabor a Txakoli,relax,,,,experience,,,43.26067482931536,-2.81473159790039,Euskadi,,young,in groups,,,,43.273609,-2.9177572,"Carretera Artxanda-Santo Domingo Errepidea, 19, 48015 Bilbo, Bizkaia, España",4.1,2
3330,Busturialdea-Urdaibai,curious,,,,town,,,,,Euskadi,,adult,in family,4339420579999990.0,-26881313.0,"Urdaibai Biosphere Reserve, Urdaibai, Bizkaia, Spain",43.2815129,-2.6439944,"Punto de Acogida de Mendata, Eleixalde auzoa, s/n., 48382 Mendata, Biscay, España",3.9,N/A
3331,Gorbeia,relax,,,,town,,,,,Euskadi,,young,in couple,43035.0,-277988.0,"Gorbea, 48144, Biscay, Spain",43.035,-2.77988,"Monte Gorbea, 48144, Vizcaya, España",4.8,N/A
3332,Uribe,relax,,,,town,,,,,Euskadi,,young,in couple,,,,40.4659582,-3.639447099999999,"C. de Torquemada, 10, 28043 Madrid, España",4.2,2
3333,Lea-Artibai,relax,,,,town,,,,,Euskadi,,young,alone,432824841.0,-25197932.0,"Lea-Artibai, Bizkaia, Spain",43.2824841,-2.5197932,"Lea-Artibai, Vizcaya, España",N/A,N/A
3334,Montaña Alavesa,relax,,,,town,,,,,Euskadi,,old,alone,4272119989999990.0,-24208713.0,"MontaÃ±a Alavesa, Ãlava, Spain",42.72119989999999,-2.4208713,"Montaña Alavesa, Álava, España",N/A,N/A
3335,Durangaldea,curious,,,,town,,,,,Euskadi,,adult,in couple,431637542.0,-26387795.0,"Durangaldea, Biscay, Spain",43.1637542,-2.6387795,"Duranguesado, Vizcaya, España",N/A,N/A
3336,Donostialdea,curious,,,,town,,,,,Euskadi,,adult,in couple,43274275.0,-1949021.0,"Donostialdea, Gipuzkoa, Spain",43.274275,-1.949021,"Donostia-San Sebastián, Gipuzkoa, España",N/A,N/A
3337,Debabarrena,curious,,,,town,,,,,Euskadi,,old,alone,432471934.0,-23616203.0,"Debabarrena, Gipuzkoa, Spain",43.2471934,-2.3616203,"Bajo Deba, Gipuzkoa, España",N/A,N/A
3338,Urola Medio,relax,,,,town,,,,,Euskadi,,adult,in groups,,,,43.2108811,-2.2433487,"Urola Costa, Gipuzkoa, España",N/A,N/A
3339,Urola Kosta,relax,,,,town,,,,,Euskadi,,young,in groups,432108811.0,-22433487.0,"Urola-Kostaldea, Gipuzkoa, Spain",43.2108811,-2.2433487,"Urola Costa, Gipuzkoa, España",N/A,N/A
3340,Valle de Ayala,relax,,,,town,,,,,Euskadi,,adult,in groups,430753042.0,-30776568.0,"Ayala/Aiara, Ãlava, Spain",43.0753042,-3.0776568,"Ayala, Álava, España",N/A,N/A
3341,Pastor por un día en Urkiola,relax,,,,experience,,,43.12449502389357,-2.622063159942627,Euskadi,Urkiola | Diseminado,old,in couple,430997634.0,-26434336.0,"48211 Urkiola, Biscay, Spain",43.0957031,-2.6487087,"Lugar Barrio Urkiola, 9F, 48211, Bizkaia, España",4.8,N/A
3342,La costa vasca: otra mirada en SUP,relax,,,,experience,,,,,Euskadi,Gibelorratzagako San Pelaio,old,alone,4331253239999990.0,-24703057.0,"Euskal Herriko kosta, Spain",,,,,
3343,Una pizca de sal en el Valle Salado,relax,,,,experience,,,42.8005611468204,-2.983572495245426,Euskadi,Salinas de Añana/Gesaltza Añana,old,in couple,428004459.0,-29832402.0,"Real Kalea, 32, 01426 Gesaltza AÃ±ana, Araba, Spain",42.8004459,-2.9832402,"Real Kalea, 32, 01426 Gesaltza Añana, Araba, España",4.6,N/A
3344,Tolosaldea,relax,,,,town,,,,,Euskadi,,old,alone,431180555.0,-2027319.0,"Tolosaldea, Gipuzkoa, Spain",43.1180555,-2.027319,"Tolosa, Gipuzkoa, España",N/A,N/A
3345,Bidasoa,curious,,,,town,,,,,Euskadi,,adult,in family,4325344335496760.0,-162059072445793.0,Bidasoa,43.2461764,-1.6690533,Río Bidasoa,4.5,N/A
3346,Debagoiena,relax,,,,town,,,,,Euskadi,,old,in groups,430328211.0,-24208713.0,"Debagoiena, Gipuzkoa, Spain",43.0328211,-2.4208713,"Alto Deba, Gipuzkoa, España",N/A,N/A
3347,Ordizia-Ormaiztegi,relax,,,,route,,,,,Euskadi,Beasain; Zerain; Idiazabal; Ormaiztegi; Segura; Ordizia,adult,in couple,430440618.0,-22562697.0,"20216 Ormaiztegi, Gipuzkoa, Spain",43.0542139,-2.1781902,"Ordizia, Gipuzkoa, España",N/A,N/A
3348,Zumaia-Santuario de Loiola,relax,,,,route,,,,,Euskadi,Albiztur; Loiola; Beizama; Bidania; Errezil; Zumaia,young,in family,431744919.0,-22823503.0,"Lugar Barrio Loiola - NÃºcleo, 16, 20730 Loyola, Gipuzkoa, Spain",43.1744919,-2.2823503,"Lugar Barrio Loiola - Núcleo, 16, 20730 Loyola, Gipuzkoa, España",4.6,N/A
3349,San Sebastián-Irun,relax,,,,route,,,,,Euskadi,Irun; Lezo; Donostia / San Sebastián,adult,in groups,43318334.0,-19812313.0,"Donostia-San Sebastian, Gipuzkoa, Spain",43.318334,-1.9812313,"San Sebastián, Gipuzkoa, España",N/A,N/A
3350,Bilbao-Faro de Gorliz,curious,,,,route,,,,,Euskadi,Bilbao; Areeta/Las Arenas; Plentzia,young,in groups,432630126.0,-29349852.0,"Bilbao, Biscay, Spain",43.43345,-2.94378,"Fano Bidea, 13A, 48630, Bizkaia, España",4.5,N/A
3351,Orozko-Dima,curious,,,,route,,,,,Euskadi,Otxandio; Areatza,old,in couple,431075643.0,-29112964.0,"48410 Orozko, Biscay, Spain",43.1075643,-2.9112964,"48410 Orozco, Vizcaya, España",N/A,N/A
3352,Vitoria-Gasteiz-Legutio,curious,,,,route,,,,,Euskadi,Ibarra; Oleta; Gopegi; Elosu; Legutio; Otxandio,young,in couple,429804724.0,-26425841.0,"01170 Legutio, Ãlava, Spain",42.9804724,-2.6425841,"01170 Legutio, Álava, España",N/A,N/A
3353,Vitoria-Gasteiz-Lalastra,curious,,,,route,,,,,Euskadi,Salinas de Añana/Gesaltza Añana; Lalastra; Tuesta; Villanañe; Villanueva de Valdegovía; Vitoria-Gasteiz,adult,in couple,428531869.0,-26732421.0,"Vitoria-Gasteiz, Ãlava, Spain",,,,,
3354,Vitoria-Gasteiz-Korres,curious,,,,route,,,,,Euskadi,Bernedo; Markinez; Antoñana; Santa Cruz de Campezo/Santikurutze Kanpezu; Korres; Maeztu/Maestu; Faido/Faidu,adult,in couple,428531869.0,-26732421.0,"Vitoria-Gasteiz, Ãlava, Spain",42.6986449,-2.4335338,"01129 Corres, Álava, España",N/A,N/A
