id,name,Average_sentiment,Google rating,Level of popularity,Increase of popularity,Cat_detailed,address,zipcode,lat,lng,area,other_city,age,way of travel,Latitud_google,Longitud_google,dirección_google,Latitud,Longitud,Dirección,Rating,Precio
4313,Santuario de Nuestra Señora de Udiarraga,history_freak,,,,historic_building,"Udiarraga, s/n",48490.0,43.17886082504104,-2.902025489024358,Euskadi,Ugao-Miraballes,old,alone,,,,43.1788567,-2.9021168,"Udiarraga Kalea, 65, 48490 Ugao-Miraballes, Bizkaia, España",4.6,N/A
4314,Casa Arrese,history_freak,,,,historic_building,"Barrenkalea, 30",20570.0,43.11865264299038,-2.412415493254096,Euskadi,Bergara,old,in couple,,,,42.8871635,-1.1374313,"C. Blanca, 2, 31691 Jaurrieta, Navarra, España",4.6,N/A
4315,Casa Bolo de Larrea,history_freak,,,,historic_building,"Arralde, 1",1206.0,42.91624179586292,-2.462884783744812,Euskadi,Barrundia,old,in couple,161846726.0,1200486216.0,"Alaminos, Pangasinan, Philippines",42.9143743,-2.4612693,"01208 Larrea, Álava, España",N/A,N/A
4316,Parroquia de San Pedro de Ariznoa,history_freak,,,,historic_building,"Ariznoa Plaza, 1",20570.0,43.11733512637516,-2.412674700000024,Euskadi,Bergara,old,in groups,340489281.0,-1110937311.0,"Arizona, USA",43.1259269,-2.4232063,"20570 Bergara, Gipuzkoa, España",5,N/A
4317,Casa Torre Gabiria,curious,,,,historic_building,"Gabiria kalea, 4 (barrio San Antonio)",20570.0,43.1109658,-2.4151975,Euskadi,Bergara,old,alone,430505823.0,-2279352.0,"20217 Gabiria, Gipuzkoa, Spain",43.0865016,-2.3195928,"Artiz Auzoa, 30, 20700 Zumarraga, Gipuzkoa, España",4.2,N/A
4318,Iglesia de Santa María la Real,curious,,,,religious,"Calle de Kalebarren, 2",20590.0,43.17421757048787,-2.412458875324313,Euskadi,Soraluze-Placencia de las Armas,old,alone,425770001.0,-12851466.0,"Av. PrÃ­ncipe de Viana, 31400 SangÃ¼esa, Navarra, Spain",43.2864395,-2.1776229,"Elizaurre Kalea, 1, 20800 Zarautz, Gipuzkoa, España",4.3,N/A
4319,Ermita de Nuestra Señora de Ezozia,history_freak,,,,historic_building,Barrio Ezozia,20590.0,43.1822782660888,-2.420023881536874,Euskadi,Soraluze-Placencia de las Armas,adult,in family,,,,43.1560987,-2.6436732,"Bitaño Auzoa, 5, 48213 Izurtza, Biscay, España",0,N/A
4320,Casa Torre Ozaeta,history_freak,,,,historic_building,"Zubiaurre, s/n",20570.0,43.1071876,-2.4186624,Euskadi,Bergara,young,alone,429169822.0,-24944483.0,"01206 Ozaeta, Ãlava, Spain",43.0273023,-2.4924314,"Aozaratza Elizaurrea Auzunea, 2, 20550 Aretxabaleta, Gipuzkoa, España",4.3,N/A
4321,Palacio de Egino-Mallea,history_freak,,,,historic_building,"Masterreka, 1",20570.0,43.11935095480289,-2.412470540688467,Euskadi,Bergara,old,in family,428704573.0,-2263910800000000.0,"San Esteban Kalea, 11A, 01260 Egino, Araba, Spain",42.8704313,-2.2639153,"San Esteban Kalea, 11A, 01260 Egino, Araba, España",4.1,N/A
4322,Hórreo de Agirre,history_freak,,,,historic_building,"Agirre auzoa, 7",20570.0,43.10919042586563,-2.42465172128755,Euskadi,Bergara,adult,in couple,,,,43.1091639,-2.4249115,"Agirre Auzoa, Auzoa, 7, 20570 Bergara, Gipuzkoa, España",4.5,N/A
4323,Palacio de Irizar,history_freak,,,,historic_building,"Barrenkalea, 33",20570.0,43.1189497,-2.412467957672106,Euskadi,Bergara,adult,in couple,,,,43.1189211,-2.4124371,"Barrenkalea, 20570 Bergara, Gipuzkoa, España",4,N/A
4324,Casa Jauregi,curious,,,,historic_building,"Bidekurutzeta, 2",20570.0,43.11728343684265,-2.413604517196661,Euskadi,Bergara,young,in couple,433163712.0,-19421655.0,"Txingurri Pasealekua, 28, local 31, 20017 San SebastiÃ¡n, Gipuzkoa, Spain",43.3163712,-1.9421655,"Txingurri Pasealekua, 28, local 31, 20017 Donostia-San Sebastian, Gipuzkoa, España",4.7,N/A
4325,Casa número 3 de Goenkalea,curious,,,,historic_building,"Goenkalea, 3",20570.0,43.11766799999999,-2.4124766,Euskadi,Bergara,young,in family,4311766799999990.0,-24124766.0,"Goenkalea, 3, 20570 Bergara, Gipuzkoa, Spain",43.11766799999999,-2.4124766,"Goenkalea, 3, 20570 Bergara, Gipuzkoa, España",N/A,N/A
4326,Parroquia de Santa Marina de Oxirondo,curious,,,,historic_building,"Urdangarin Ibiltokia, s/n",20570.0,43.11947533677802,-2.415219911639392,Euskadi,Bergara,adult,alone,431194083.0,-24152361.0,"Oxirondo Plaza, 1, 20570 Bergara, Gipuzkoa, Spain",43.1194083,-2.4152361,"Oxirondo Plaza, 1, 20570 Bergara, Gipuzkoa, España",4.1,N/A
4327,Santuario de la Antigua,history_freak,,,,historic_building,"Paseo de La Antigua, 56",48460.0,42.99297816226006,-3.02210671593854,Euskadi,Urduña/Orduña,young,alone,429929968.0,-30221845.0,"Santuario de la Antigua, La Antigua Ibilbidea, 48460 OrduÃ±a, Vizcaya, Spain",42.9929968,-3.0221845,"Santuario de la Antigua, La Antigua Ibilbidea, 48460 Orduña, Vizcaya, España",N/A,N/A
4328,Conjunto Histórico Artístico El Camino de Santiago (costa),history_freak,,,,historic_building,<em>El recorrido comienza en Hondarribia y finaliza en Covarón</em>,,,,Euskadi,,old,in groups,,,,,,,,
4329,Bosque de Oma,history_freak,,,,historic_building,Barrio de Oma,48315.0,43.3366316,-2.6167591,Euskadi,Kortezubi,young,alone,433384065.0,-26370153.0,"Nuevo Bosque De Oma, Oma, Valle de, 48315 Kortezubi, Bizkaia, Spain",43.3384065,-2.6370153,"Oma, Valle de, 48315 Kortezubi, Bizkaia, España",4.2,N/A
4330,Jardín Botánico de Santa Catalina,history_freak,,,,historic_building,,1191.0,42.85090443133567,-2.805369430810515,Euskadi,Iruña Oka/Iruña de Oca,old,in family,428494283.0,-28069746.0,"Botanical Garden of Santa Catalina, Centro de InterpretaciÃ³n, 01191 Trespuentes, Araba, Spain",42.8494283,-2.8069746,"Centro de Interpretación, 01191 Trespuentes, Álava, España",4.6,N/A
4331,Iglesia de Iesu,history_freak,,,,religious,"Avenida Barcelona, 2 (Riberas de Loiola)",20014.0,43.3077100603259,-1.970994066795356,Euskadi,Donostia / San Sebastián,adult,alone,433079478.0,-19711054.0,"Barcelona Hiribidea, 2, 20014 Donostia, Gipuzkoa, Spain",43.3079478,-1.9711054,"Barcelona Hiribidea, 2, 20014 Donostia, Gipuzkoa, España",4.2,N/A
4332,Landetxo Goikoa,curious,,,,historic_building,Landetxo Goikoa,48100.0,43.35669618715182,-2.855198843933058,Euskadi,Mungia,young,in couple,43356971.0,-28550871.0,"Lauaxeta Olerkari Kalea, 41, 48100 Mungia, Bizkaia, Spain",43.3569468,-2.8551676,"Lauaxeta Olerkari Kalea, 41, 48100 Mungia, Bizkaia, España",4.2,N/A
4333,Torre Iberdrola,curious,,,,historic_building,"Euskadi Plaza, 5",48009.0,43.26816972358087,-2.93864235029298,Euskadi,Bilbao,old,alone,432680634.0,-29387448.0,"Euskadi Pl., 5, 48009 Bilbao, Vizcaya, Spain",43.2680634,-2.9387448,"Euskadi Pl., 5, 48009 Bilbao, Biscay, España",4.2,N/A
4334,Bilbao Arena,history_freak,,,,historic_building,Askatasuna 13,48003.0,43.25199580330477,-2.926080921148686,Euskadi,Bilbao,adult,alone,432521413.0,-29261324.0,"Askatasuna Etorb., 13, 48003 Bilbo, Bizkaia, Spain",43.2521413,-2.9261324,"Askatasuna Etorb., 13, 48003 Bilbo, Bizkaia, España",4.5,N/A
4335,Basque Culinary Center,curious,,,,historic_building,"Paseo Juan Avelino Barriola, 101",20009.0,43.28804592977632,-1.987211490985152,Euskadi,Donostia / San Sebastián,old,in family,432881809.0,-19871252.0,"Paseo Juan Avelino Barriola, 101, 20009 Donostia, Gipuzkoa, Spain",43.2881809,-1.9871252,"Paseo Juan Avelino Barriola, 101, 20009 Donostia, Gipuzkoa, España",4.5,N/A
4336,Puente Bizkaia,history_freak,,,,historic_building,"Barria, 3 bajo (oficina)<br/>Zubiko enparantza, s/n (puente)",48930.0,,,Euskadi,Getxo;Portugalete,adult,in couple,433232498.0,-30172062.0,"Vizcaya Bridge, Puente de Vizcaya Zubia, Getxo, Bizkaia, Spain",43.3232498,-3.0172062,"Puente de Vizcaya Zubia, Getxo, Bizkaia, España",4.6,N/A
4337,Ermita de San Esteban de Gerekiz,history_freak,,,,historic_building,Barrio Gerekiz,48115.0,43.29909544347549,-2.738512563385027,Euskadi,Morga,old,in family,4329908690000000.0,-27385577.0,"Lugar Barrio Gerekiz, 1B, 48115, Bizkaia, Spain",43.2990536,-2.7385965,"Lugar Barrio Gerekiz, 1B, 48115, Bizkaia, España",4.4,N/A
4338,Iglesia de los Mártires San Emeterio y San Celedonio,history_freak,,,,religious,"Goikolexea, 9",48195.0,43.26710642532892,-2.78318197953183,Euskadi,Larrabetzu,old,alone,,,,43.2671498,-2.7831957,"Calle Jauregui Apezpikua, 1, 48195 Larrabetzu, Biscay, España",4.3,N/A
4339,Iglesia de Santa María de Lezama,history_freak,,,,religious,"Barrio Aretxalde, 81",48196.0,43.27363148797603,-2.834712367597952,Euskadi,Lezama,young,alone,432736928.0,-28347907.0,"Barrio Aretxalde, 78A, 48196 Lezama, Bizkaia, Spain",43.2736882,-2.8349573,"Barrio Aretxalde, 78A, 48196 Lezama, Biscay, España",4.1,N/A
4340,Iglesia de San Vicente (Barakaldo),history_freak,,,,religious,"Calle Elejalde, 2",48902.0,43.29609790484795,-2.997090179762268,Euskadi,Barakaldo,adult,alone,432957967.0,-2996895.0,"Elexpuru Kalea, 4, 48902 Barakaldo, Bizkaia, Spain",43.295805,-2.9967391,"Elexpuru Kalea, 4, 48902 Barakaldo, Bizkaia, España",4.1,N/A
4341,Ermita de Santiagomendi (Astigarraga),curious,,,,historic_building,"Travesía de Santiago, s/n",20115.0,43.27474556011583,-1.932333197839406,Euskadi,Astigarraga,old,in groups,432746705.0,-19323318.0,"santiagomendi aterpetxea, Santio Zeharra Kalea, 131, 20115 Astigarraga, Gipuzkoa, Spain",43.2746705,-1.9323318,"Santio Zeharra Kalea, 131, 20115 Astigarraga, Gipuzkoa, España",4.6,N/A
4342,Iglesia Parroquial San Martín de Tours (Andoain),history_freak,,,,religious,"Goikoplaza, s/n",20140.0,43.21975340489051,-2.020565243655366,Euskadi,Andoain,adult,alone,432186367.0,-2021197.0,"20140 Andoain, Gipuzkoa, Spain",43.2194605,-2.020677800000001,"Calle, Agustin Leitza Kalea, 2, 20140 Andoain, Gipuzkoa, España",4.3,N/A
4343,Convento de las Brigidas (Lasarte-Oria),curious,,,,historic_building,Plaza de las Brígidas,20160.0,43.26779805271504,-2.020681476721198,Euskadi,Lasarte-Oria,old,alone,432684377.0,-20178149.0,"Lasarte-Oria, Gipuzkoa, Spain",43.2680904,-2.0205805,"Brigida Plaza, 20160 Lasarte-Oria, Gipuzkoa, España",4.7,N/A
4344,Iglesia de San Martín (Estavillo),history_freak,,,,religious,Calle Picota,1220.0,42.727777,-2.860386100000028,Euskadi,Armiñón,old,in groups,427281238.0,-28621051.0,"La Picota Kalea, 4, 01220 Estavillo, Araba, Spain",42.7282485,-2.8621048,"La Picota Kalea, 4, 01220 Estavillo, Araba, España",4.9,N/A
4345,Basílica de Santa María (Portugalete),history_freak,,,,historic_building,Santa María Kalea,48920.0,43.31971055929858,-3.016654237295593,Euskadi,Portugalete,old,in family,433198281.0,-30166857.0,"Canton de la Iglesia Kalea, 6, 48920 Portugalete, Bizkaia, Spain",43.3198281,-3.0166857,"Canton de la Iglesia Kalea, 6, 48920 Portugalete, Bizkaia, España",4.5,N/A
4346,Ermita de Nuestra Señora del Socorro,history_freak,,,,historic_building,Camino a la ermita,48550.0,43.34645918822876,-3.121918702099606,Euskadi,Muskiz,old,alone,402989805.0,-41171275.0,"P.Âº de la Ermita, 35, 28610 Villamanta, Madrid, Spain",43.3464658,-3.1217985,"A la Ermita Bidea, 8, 48550 Muskiz, Bizkaia, España",4.3,N/A
4347,Muelle de Hierro de Portugalete,history_freak,,,,historic_building,Muelle Churruca,48980.0,43.32912041766363,-3.024361715344184,Euskadi,Portugalete,old,in couple,4332908920000000.0,-30243188.0,"Muelle Churruca, s/n, Portugalete, Vizcaya, Spain",43.32908920000001,-3.0243188,"Muelle Churruca, s/n, Portugalete, Biscay, España",4.4,N/A
4348,Pinturas de Gazeo y Alaitza,history_freak,,,,historic_building,,,,,Euskadi,Iruraiz-Gauna;Iruraiz-Gauna,young,in family,4282371080000000.0,-24152484.0,"01207 Alaiza, Ãlava, Spain",42.82371080000001,-2.4152484,"01207 Alaiza, Álava, España",N/A,N/A
4349,Palacio Arrietakua,history_freak,,,,historic_building,"Conde de Motrico Kalea, 9",20830.0,43.30740067590052,-2.386194011045063,Euskadi,Mutriku,adult,alone,433074372.0,-23862061.0,"Conde de Motrico Kalea, 9, 20830 Mutriku, Gipuzkoa, Spain",43.3074372,-2.3862061,"Conde de Motrico Kalea, 9, 20830 Mutriku, Gipuzkoa, España",4.4,N/A
4350,Horno Alto de Sestao,curious,,,,historic_building,"C/ Txabarri, 4",,43.31143412899892,-3.000500282278373,Euskadi,Sestao,young,in groups,433093903.0,-30072372.0,"48910 Sestao, Biscay, Spain",43.3114538,-3.0006683,"Txabarri K., 4, 48910 Sestao, Bizkaia, España",4.5,N/A
4351,Grandes Villas de Getxo,history_freak,,,,historic_building,,,43.33505348819301,-3.010363497900354,Euskadi,Getxo,old,alone,433387367.0,-30081319.0,"Getxo, Biscay, Spain",,,,,
4352,Funicular de Igeldo,history_freak,,,,historic_building,,,43.31922967469176,-2.006342191696151,Euskadi,,adult,in groups,43319196.0,-2006307.0,"Funicular Monte Igueldo, Funikular Plaza, 4, 20008 Donostia, Gipuzkoa, Spain",43.319196,-2.006307,"Funikular Plaza, 4, 20008 Donostia, Gipuzkoa, España",4.4,N/A
4353,Edificio Ilgner,history_freak,,,,historic_building,"Avenida Altos Hornos de Vizcaya, 33",48901.0,43.3024816,-2.983525099999952,Euskadi,Barakaldo,adult,in family,433024816.0,-29835251.0,"Altos Hornos de Vizcaya Hiribidea, 33, 48901 Barakaldo, Bizkaia, Spain",43.3024816,-2.9835251,"Altos Hornos de Vizcaya Hiribidea, 33, 48901 Barakaldo, Bizkaia, España",4.4,N/A
4354,Coto minero de Irugurutzeta,history_freak,,,,historic_building,,,43.3179905,-1.772218100000032,Euskadi,Irun,young,alone,433178965.0,-17724057.0,"Bo. Meaka, 110, 20305 IrÃºn, Gipuzkoa, Spain",43.3179026,-1.7723608,"Bo. Meaka, 110, 20305 Irun, Gipuzkoa, España",4.5,N/A
4355,Coto minero de Goierri,curious,,,,historic_building,,,,,Euskadi,Mutiloa;Zerain,adult,in family,43036041.0,-22630393.0,"Goierri, Gipuzkoa, Spain",43.3179026,-1.7723608,"Bo. Meaka, 110, 20305 Irun, Gipuzkoa, España",4.5,N/A
