uri;geo_long;geo_lat;clase;rdfs_label;tieneEnlaceSIG;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/8-monumento-foro-de-los-balbos;-637.154;394.744;MONUMENTO ;Foro de los Balbos;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1194 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/80-torre-mochada;-637.048;394.718;TORRE ;Mochada;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1218 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/81-torre-de-merida-este;-63.711;39.472;TORRE ;de Merida-Este;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1216 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/82-monumento-puente-de-la-mocha;-634.717;393.675;MONUMENTO ;Puente de la Mocha;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2190 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/83-cueva-de-maltravieso;-637.094;394.576;CUEVA ;de Maltravieso;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2045 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/84-cueva-de-la-becerra;-638.229;394.313;CUEVA ;de la Becerra;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2192 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/85-casa-del-marques-de-monroy;-637.359;394.732;CASA ;del Marques de Monroy;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2471 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/86-palacio-de-la-audiencia-provincial;-63.701;394.771;PALACIO ;de la Audiencia Provincial;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1231 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/87-cueva-del-conejar;-636.341;394.552;CUEVA ;del Conejar;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10645 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/88-dolmen-de-la-hijadilla;-648.783;393.853;DOLMEN ;de la Hijadilla;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10679 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/89-cueva-de-santa-ana;-637.025;394.284;CUEVA ;de Santa Ana;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10676 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/9-monumento-muralla-arabe-oeste;-637.153;394.742;MONUMENTO ;Muralla Arabe Oeste;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2103 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/90-palacio-de-los-durán-de-la-rocha;-636.985;394.737;PALACIO ;de los Durán de la Rocha;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10740 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/17-casa-del-marques-de-camarena;-637.251;39.475.737.935;CASA ;del Marques de Camarena;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1175 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/17-casa-del-marques-de-camarena;-637.250.785.266;39.475.737.935;CASA ;del Marques de Camarena;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1175 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/17-casa-del-marques-de-camarena;-637.251;394.757;CASA ;del Marques de Camarena;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1175 ;;
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/17-casa-del-marques-de-camarena;-637.250.785.266;394.757;CASA ;del Marques de Camarena;http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1175 ;;
